22:13:14 | WARNING  | TICK:0000 | Spawn position (20.0, 15.0) blocked, searching for clear spot
22:13:14 | WARNING  | TICK:0000 | Spawn position (26.0, 19.0) blocked, searching for clear spot
22:13:14 | WARNING  | TICK:0000 | Spawn position (32.0, 23.0) blocked, searching for clear spot
22:13:14 | WARNING  | TICK:0000 | Spawn position (38.0, 27.0) blocked, searching for clear spot
22:13:14 | WARNING  | TICK:0000 | Spawn position (44.0, 31.0) blocked, searching for clear spot
22:13:14 | WARNING  | TICK:0000 | Spawn position (125.0, 15.0) blocked, searching for clear spot
22:13:14 | WARNING  | TICK:0000 | Spawn position (131.0, 19.0) blocked, searching for clear spot
22:13:14 | WARNING  | TICK:0000 | Spawn position (143.0, 27.0) blocked, searching for clear spot
22:13:14 | WARNING  | TICK:0000 | Spawn position (145.0, 31.0) blocked, searching for clear spot
22:13:14 | WARNING  | TICK:0002 | Agent tank_1_1 returned error: 500
22:13:14 | WARNING  | TICK:0002 | Agent tank_1_2 returned error: 500
22:13:14 | WARNING  | TICK:0003 | Agent tank_1_1 returned error: 500
22:13:14 | WARNING  | TICK:0003 | Agent tank_1_2 returned error: 500
22:13:14 | WARNING  | TICK:0004 | Agent tank_1_1 returned error: 500
22:13:14 | WARNING  | TICK:0004 | Agent tank_1_2 returned error: 500
22:13:14 | WARNING  | TICK:0005 | Agent tank_1_1 returned error: 500
22:13:14 | WARNING  | TICK:0005 | Agent tank_1_2 returned error: 500
22:13:14 | WARNING  | TICK:0006 | Agent tank_1_1 returned error: 500
22:13:14 | WARNING  | TICK:0006 | Agent tank_1_2 returned error: 500
22:13:14 | WARNING  | TICK:0007 | Agent tank_1_1 returned error: 500
22:13:14 | WARNING  | TICK:0007 | Agent tank_1_2 returned error: 500
22:13:14 | WARNING  | TICK:0008 | Agent tank_1_1 returned error: 500
22:13:14 | WARNING  | TICK:0008 | Agent tank_1_2 returned error: 500
22:13:14 | WARNING  | TICK:0009 | Agent tank_1_1 returned error: 500
22:13:14 | WARNING  | TICK:0009 | Agent tank_1_2 returned error: 500
22:13:14 | WARNING  | TICK:0010 | Agent tank_1_1 returned error: 500
22:13:14 | WARNING  | TICK:0010 | Agent tank_1_2 returned error: 500
22:13:14 | WARNING  | TICK:0011 | Agent tank_1_1 returned error: 500
22:13:14 | WARNING  | TICK:0011 | Agent tank_1_2 returned error: 500
22:13:14 | WARNING  | TICK:0012 | Agent tank_1_1 returned error: 500
22:13:14 | WARNING  | TICK:0012 | Agent tank_1_2 returned error: 500
22:13:14 | WARNING  | TICK:0013 | Agent tank_1_1 returned error: 500
22:13:14 | WARNING  | TICK:0013 | Agent tank_1_2 returned error: 500
22:13:14 | WARNING  | TICK:0014 | Agent tank_1_1 returned error: 500
22:13:14 | WARNING  | TICK:0014 | Agent tank_1_2 returned error: 500
22:13:14 | WARNING  | TICK:0015 | Agent tank_1_1 returned error: 500
22:13:14 | WARNING  | TICK:0015 | Agent tank_1_2 returned error: 500
22:13:14 | WARNING  | TICK:0016 | Agent tank_1_1 returned error: 500
22:13:14 | WARNING  | TICK:0016 | Agent tank_1_2 returned error: 500
22:13:14 | WARNING  | TICK:0017 | Agent tank_1_1 returned error: 500
22:13:14 | WARNING  | TICK:0017 | Agent tank_1_2 returned error: 500
