16:15:55 | INFO     | TICK:0000 | Starting Tank Battle Game Engine
16:15:55 | INFO     | TICK:0000 | Arguments: {'map_seed': 'road_trees.csv', 'headless': True, 'log_level': 'INFO', 'agent1': None, 'agent2': None, 'agents': None, 'quick_test': False, 'config': None, 'max_ticks': 2000, 'performance_test': False}
16:15:55 | INFO     | TICK:0000 | Set max ticks to: 2000
16:15:55 | INFO     | TICK:0000 | No agents specified, using dummy agents
16:15:55 | INFO     | TICK:0000 | Loaded 2 agents
16:15:55 | INFO     | TICK:0000 | GameCore initialized with session ID: 88e87903
16:15:55 | INFO     | TICK:0000 | Starting game initialization...
16:15:55 | INFO     | TICK:0000 | Game configuration: {'session_id': '88e87903', 'map_size': (200, 200), 'team_count': 2, 'team_size': 5, 'total_tanks': 10, 'friendly_fire': True, 'sudden_death_tick': 2000, 'map_seed': 'road_trees.csv', 'spawn_positions': [(50, 50), (65, 70), (80, 90), (95, 110), (110, 130), (100, 50), (115, 70), (130, 90), (145, 110), (160, 130)]}
16:15:55 | INFO     | TICK:0000 | Loading map with seed: road_trees.csv
16:15:55 | INFO     | TICK:0000 | Loaded map from file: road_trees.csv
16:15:55 | INFO     | TICK:0000 | Spawning tanks: Team A=5, Team B=5
16:15:55 | WARNING  | TICK:0000 | Spawn position (20.0, 15.0) blocked, searching for clear spot
16:15:55 | INFO     | TICK:0000 | Found clear spawn at (35.0, 15.0)
16:15:55 | WARNING  | TICK:0000 | Spawn position (26.0, 19.0) blocked, searching for clear spot
16:15:55 | INFO     | TICK:0000 | Found clear spawn at (52.0, 34.0)
16:15:55 | WARNING  | TICK:0000 | Spawn position (32.0, 23.0) blocked, searching for clear spot
16:15:55 | INFO     | TICK:0000 | Found clear spawn at (45.0, 15.5)
16:15:55 | WARNING  | TICK:0000 | Spawn position (38.0, 27.0) blocked, searching for clear spot
16:15:55 | INFO     | TICK:0000 | Found clear spawn at (64.0, 42.0)
16:15:55 | WARNING  | TICK:0000 | Spawn position (44.0, 31.0) blocked, searching for clear spot
16:15:55 | INFO     | TICK:0000 | Found clear spawn at (51.5, 44.0)
16:15:55 | WARNING  | TICK:0000 | Spawn position (125.0, 15.0) blocked, searching for clear spot
16:15:55 | INFO     | TICK:0000 | Found clear spawn at (140.0, 15.0)
16:15:55 | WARNING  | TICK:0000 | Spawn position (131.0, 19.0) blocked, searching for clear spot
16:15:55 | INFO     | TICK:0000 | Found clear spawn at (131.0, 49.0)
16:15:55 | WARNING  | TICK:0000 | Spawn position (143.0, 27.0) blocked, searching for clear spot
16:15:55 | INFO     | TICK:0000 | Found clear spawn at (140.0, 53.0)
16:15:55 | WARNING  | TICK:0000 | Spawn position (145.0, 31.0) blocked, searching for clear spot
16:15:55 | INFO     | TICK:0000 | Found clear spawn at (140.0, 61.0)
16:15:55 | INFO     | TICK:0000 | Successfully spawned 10 tanks
16:15:55 | INFO     | TICK:0000 | Connecting to agent servers...
16:15:55 | INFO     | TICK:0000 | Connected to agent for tank_1_1 at http://127.0.0.1:8001
16:15:55 | INFO     | TICK:0000 | Connected to agent for tank_1_2 at http://127.0.0.1:8002
16:15:56 | WARNING  | TICK:0000 | Failed to connect to agent for tank_1_3: timed out
16:15:56 | WARNING  | TICK:0000 | Failed to connect to agent for tank_1_4: timed out
16:15:57 | WARNING  | TICK:0000 | Failed to connect to agent for tank_1_5: timed out
16:15:57 | WARNING  | TICK:0000 | Failed to connect to agent for tank_2_1: timed out
16:15:58 | WARNING  | TICK:0000 | Failed to connect to agent for tank_2_2: timed out
16:15:58 | WARNING  | TICK:0000 | Failed to connect to agent for tank_2_3: timed out
