00:05:43 | WARNING  | TICK:0000 | Spawn position (25.0, 25.0) blocked, searching for clear spot
00:05:43 | WARNING  | TICK:0000 | Spawn position (33.0, 33.0) blocked, searching for clear spot
00:05:43 | WARNING  | TICK:0000 | Spawn position (41.0, 41.0) blocked, searching for clear spot
00:07:49 | WARNING  | TICK:2520 | Spawn position (25.0, 25.0) blocked, searching for clear spot
00:07:49 | WARNING  | TICK:2520 | Spawn position (33.0, 33.0) blocked, searching for clear spot
00:07:49 | WARNING  | TICK:2520 | Spawn position (41.0, 41.0) blocked, searching for clear spot
00:09:58 | WARNING  | TICK:2509 | Spawn position (25.0, 25.0) blocked, searching for clear spot
00:09:58 | WARNING  | TICK:2509 | Spawn position (33.0, 33.0) blocked, searching for clear spot
00:09:58 | WARNING  | TICK:2509 | Spawn position (41.0, 41.0) blocked, searching for clear spot
00:12:14 | WARNING  | TICK:2509 | Spawn position (25.0, 25.0) blocked, searching for clear spot
00:12:14 | WARNING  | TICK:2509 | Spawn position (33.0, 33.0) blocked, searching for clear spot
00:12:14 | WARNING  | TICK:2509 | Spawn position (41.0, 41.0) blocked, searching for clear spot
00:14:19 | WARNING  | TICK:2508 | Spawn position (25.0, 25.0) blocked, searching for clear spot
00:14:19 | WARNING  | TICK:2508 | Spawn position (33.0, 33.0) blocked, searching for clear spot
00:14:19 | WARNING  | TICK:2508 | Spawn position (41.0, 41.0) blocked, searching for clear spot
00:16:19 | WARNING  | TICK:2541 | Spawn position (25.0, 25.0) blocked, searching for clear spot
00:16:19 | WARNING  | TICK:2541 | Spawn position (33.0, 33.0) blocked, searching for clear spot
00:16:19 | WARNING  | TICK:2541 | Spawn position (41.0, 41.0) blocked, searching for clear spot
00:18:22 | WARNING  | TICK:2529 | Spawn position (25.0, 25.0) blocked, searching for clear spot
00:18:22 | WARNING  | TICK:2529 | Spawn position (33.0, 33.0) blocked, searching for clear spot
00:18:22 | WARNING  | TICK:2529 | Spawn position (41.0, 41.0) blocked, searching for clear spot
00:20:28 | WARNING  | TICK:2528 | Spawn position (25.0, 25.0) blocked, searching for clear spot
00:20:28 | WARNING  | TICK:2528 | Spawn position (33.0, 33.0) blocked, searching for clear spot
00:20:28 | WARNING  | TICK:2528 | Spawn position (41.0, 41.0) blocked, searching for clear spot
00:22:37 | WARNING  | TICK:2511 | Spawn position (25.0, 25.0) blocked, searching for clear spot
00:22:37 | WARNING  | TICK:2511 | Spawn position (33.0, 33.0) blocked, searching for clear spot
00:22:37 | WARNING  | TICK:2511 | Spawn position (41.0, 41.0) blocked, searching for clear spot
00:24:51 | WARNING  | TICK:2517 | Spawn position (25.0, 25.0) blocked, searching for clear spot
00:24:51 | WARNING  | TICK:2517 | Spawn position (33.0, 33.0) blocked, searching for clear spot
00:24:51 | WARNING  | TICK:2517 | Spawn position (41.0, 41.0) blocked, searching for clear spot
00:27:06 | WARNING  | TICK:2509 | Spawn position (25.0, 25.0) blocked, searching for clear spot
00:27:06 | WARNING  | TICK:2509 | Spawn position (33.0, 33.0) blocked, searching for clear spot
00:27:06 | WARNING  | TICK:2509 | Spawn position (41.0, 41.0) blocked, searching for clear spot
00:29:06 | WARNING  | TICK:2502 | Spawn position (25.0, 25.0) blocked, searching for clear spot
00:29:06 | WARNING  | TICK:2502 | Spawn position (33.0, 33.0) blocked, searching for clear spot
00:29:06 | WARNING  | TICK:2502 | Spawn position (41.0, 41.0) blocked, searching for clear spot
00:31:28 | WARNING  | TICK:2507 | Spawn position (25.0, 25.0) blocked, searching for clear spot
00:31:28 | WARNING  | TICK:2507 | Spawn position (33.0, 33.0) blocked, searching for clear spot
00:31:28 | WARNING  | TICK:2507 | Spawn position (41.0, 41.0) blocked, searching for clear spot
00:33:54 | WARNING  | TICK:2500 | Spawn position (25.0, 25.0) blocked, searching for clear spot
00:33:54 | WARNING  | TICK:2500 | Spawn position (33.0, 33.0) blocked, searching for clear spot
00:33:54 | WARNING  | TICK:2500 | Spawn position (41.0, 41.0) blocked, searching for clear spot
