episode,map_seed,return_code,episode_ok,has_new_summary,summary_file,winner_team,learners,selfplay,baselines,shots_fired,hits_landed,tanks_killed,projectile_deaths,non_projectile_deaths,elimination_source,mobility,move_command_ratio,idle_ratio,turn_ratio,movement_success_ratio,reason,sudden_death_reached
1,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_152152.txt,,1,0,9,14,10,10,3,7,mixed_combat_and_time,mostly_moving,0.8487,0.1072,0.874,0.7766,normal,True
2,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_152206.txt,,1,0,9,13,10,10,3,7,mixed_combat_and_time,mostly_moving,0.819,0.1094,0.8946,0.7723,normal,True
3,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_152219.txt,1,1,0,9,15,10,9,2,7,mixed_combat_and_time,mostly_moving,0.8074,0.1312,0.8459,0.773,normal,True
4,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_152233.txt,,1,0,9,13,9,10,3,7,mixed_combat_and_time,mostly_moving,0.8327,0.1175,0.8648,0.7725,normal,True
5,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_152247.txt,,1,0,9,13,10,10,3,7,mixed_combat_and_time,mostly_moving,0.8641,0.1039,0.8637,0.7847,normal,True
6,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_152300.txt,1,1,0,9,13,10,9,2,7,mixed_combat_and_time,mostly_moving,0.8214,0.1319,0.8087,0.777,normal,True
7,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_152314.txt,,1,0,9,14,9,10,3,7,mixed_combat_and_time,mostly_moving,0.8138,0.1117,0.8843,0.7678,normal,True
8,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_152328.txt,1,1,0,9,14,11,9,2,7,mixed_combat_and_time,mostly_moving,0.8382,0.1325,0.799,0.7822,normal,True
9,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_152342.txt,,1,0,9,12,10,10,3,7,mixed_combat_and_time,mostly_moving,0.8726,0.1067,0.8231,0.7863,normal,True
10,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_152356.txt,1,1,0,9,13,10,9,2,7,mixed_combat_and_time,mostly_moving,0.8272,0.1297,0.7984,0.7788,normal,True
11,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_152410.txt,,1,0,9,12,9,10,3,7,mixed_combat_and_time,mostly_moving,0.8598,0.1066,0.8365,0.7803,normal,True
12,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_152424.txt,1,1,0,9,15,11,9,2,7,mixed_combat_and_time,mostly_moving,0.8475,0.1302,0.7827,0.7845,normal,True
13,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_152438.txt,,1,0,9,13,9,10,3,7,mixed_combat_and_time,mostly_moving,0.8472,0.1178,0.8538,0.7771,normal,True
14,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_152452.txt,1,1,0,9,14,11,9,2,7,mixed_combat_and_time,mostly_moving,0.8447,0.1294,0.7739,0.7838,normal,True
15,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_152506.txt,,1,0,9,12,10,10,3,7,mixed_combat_and_time,mostly_moving,0.8593,0.1101,0.8292999999999999,0.812,normal,True
16,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_152520.txt,1,1,0,9,14,10,9,2,7,mixed_combat_and_time,mostly_moving,0.7929,0.1391,0.8223,0.7695,normal,True
17,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_152534.txt,,1,0,9,12,9,10,3,7,mixed_combat_and_time,mostly_moving,0.8414,0.1227,0.8403,0.7755,normal,True
18,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_152548.txt,1,1,0,9,13,11,9,2,7,mixed_combat_and_time,mostly_moving,0.8249,0.151,0.7860999999999999,0.7784,normal,True
19,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260218_152602.txt,,1,0,9,13,10,10,3,7,mixed_combat_and_time,mostly_moving,0.8324,0.1024,0.8721,0.7766,normal,True
