episode,map_seed,return_code,episode_ok,has_new_summary,summary_file,winner_team,learners,selfplay,baselines,shots_fired,hits_landed,tanks_killed,projectile_deaths,non_projectile_deaths,elimination_source,mobility,move_command_ratio,idle_ratio,turn_ratio,movement_success_ratio,reason,sudden_death_reached,avg_episode_reward
1,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260220_105213.txt,1,1,0,9,4,3,9,1,8,mixed_combat_and_time,mostly_moving,0.9084,0.0884,0.8964,1.0,normal,True,1.0902603320820585
2,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260220_105241.txt,1,1,0,9,4,3,9,1,8,mixed_combat_and_time,mostly_moving,0.9074,0.0893,0.893,1.0,normal,True,205.3164029048001
3,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260220_105312.txt,1,1,0,9,3,1,9,0,9,time_sudden_death,mostly_moving,0.9287,0.0695,0.8762,1.0,normal,True,282.1533329296101
4,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260220_105342.txt,1,1,0,9,3,1,9,0,9,time_sudden_death,mostly_moving,0.9279,0.07,0.879,1.0,normal,True,292.9624586413547
5,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260220_105412.txt,1,1,0,9,4,3,9,0,9,time_sudden_death,mostly_moving,0.9284,0.0697,0.8752,1.0,normal,True,305.3822357029067
6,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260220_105443.txt,,1,0,9,4,1,10,0,10,time_sudden_death,mostly_moving,0.928,0.0699,0.8768,1.0,normal,True,328.9353448512656
7,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260220_105514.txt,1,1,0,9,4,2,9,0,9,time_sudden_death,mostly_moving,0.9288,0.0694,0.8762,1.0,normal,True,307.8517766283053
8,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260220_105546.txt,1,1,0,9,5,3,9,0,9,time_sudden_death,mostly_moving,0.9287,0.0694,0.8778,1.0,normal,True,327.8485282504589
9,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260220_105617.txt,1,1,0,9,4,1,9,0,9,time_sudden_death,mostly_moving,0.9287,0.0695,0.8754,1.0,normal,True,367.68195166956895
10,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260220_105648.txt,1,1,0,9,4,1,9,0,9,time_sudden_death,mostly_moving,0.9287,0.0696,0.8782,1.0,normal,True,440.1595978461361
11,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260220_105720.txt,1,1,0,9,4,2,9,1,8,mixed_combat_and_time,mostly_moving,0.9076,0.0891,0.8965,1.0,normal,True,383.4308357080647
12,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260220_105751.txt,1,1,0,9,4,2,9,1,8,mixed_combat_and_time,mostly_moving,0.9085,0.0883,0.899,1.0,normal,True,370.52947577909174
13,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260220_105821.txt,1,1,0,9,3,1,9,0,9,time_sudden_death,mostly_moving,0.9279,0.07,0.8784000000000001,1.0,normal,True,514.5184658937093
14,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260220_105852.txt,,1,0,9,4,2,10,0,10,time_sudden_death,mostly_moving,0.928,0.0699,0.8765000000000001,1.0,normal,True,344.66879212667607
15,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260220_105922.txt,1,1,0,9,4,2,9,0,9,time_sudden_death,mostly_moving,0.9286,0.0696,0.8769,1.0,normal,True,412.3904626229972
16,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260220_105952.txt,1,1,0,9,4,1,9,0,9,time_sudden_death,mostly_moving,0.9282,0.0697,0.8797999999999999,1.0,normal,True,521.6111926618623
17,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260220_110022.txt,1,1,0,9,4,2,9,0,9,time_sudden_death,mostly_moving,0.9285,0.0696,0.8763,1.0,normal,True,547.8244269077835
18,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260220_110052.txt,1,1,0,9,3,1,9,0,9,time_sudden_death,mostly_moving,0.9279,0.07,0.8784000000000001,1.0,normal,True,506.75813236223235
19,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260220_110121.txt,1,1,0,9,3,1,9,0,9,time_sudden_death,mostly_moving,0.9279,0.07,0.8764000000000001,1.0,normal,True,563.3891379777551
20,road_trees.csv,1,True,True,/home/mamusiaarusia/pollodzka/sem2/msi/MSI_2/projekt/MSI_Agent_Tank/Game/02_FRAKCJA_SILNIKA/logs/summary_20260220_110150.txt,1,1,0,9,4,1,9,0,9,time_sudden_death,mostly_moving,0.9287,0.0695,0.8752,1.0,normal,True,597.5053064857858
