episode,map,seed,success,error,winner_team,total_ticks,elapsed_sec,fitness,kills,damage,alive,enemy_alive,win_component
0,advanced_road_trees.csv,42,True,,2,2543,80.4605,-210.0,0.0,0.0,0.0,1.0,-200.0
1,advanced_road_trees.csv,43,True,,2,2534,90.9485,-200.0,0.0,40.0,0.0,1.0,-200.0
2,advanced_road_trees.csv,44,True,,2,2543,78.1989,-200.0,0.0,40.0,0.0,1.0,-200.0
3,advanced_road_trees.csv,45,True,,2,2534,83.8835,-200.0,0.0,40.0,0.0,1.0,-200.0
4,advanced_road_trees.csv,46,True,,2,2548,96.7417,-210.0,0.0,0.0,0.0,1.0,-200.0
5,advanced_road_trees.csv,47,True,,2,2534,87.3726,-210.0,0.0,0.0,0.0,1.0,-200.0
6,advanced_road_trees.csv,48,True,,2,2554,96.5635,-210.0,0.0,0.0,0.0,1.0,-200.0
7,advanced_road_trees.csv,49,True,,2,2551,84.529,-210.0,0.0,0.0,0.0,1.0,-200.0
8,advanced_road_trees.csv,50,True,,2,2534,85.8968,-210.0,0.0,0.0,0.0,1.0,-200.0
9,advanced_road_trees.csv,51,True,,2,2547,92.9564,-210.0,0.0,0.0,0.0,1.0,-200.0
10,advanced_road_trees.csv,52,True,,2,2534,79.8944,-200.0,0.0,40.0,0.0,1.0,-200.0
11,advanced_road_trees.csv,53,True,,2,2534,72.7194,-200.0,0.0,40.0,0.0,1.0,-200.0
12,advanced_road_trees.csv,54,True,,2,2534,91.6982,-210.0,0.0,0.0,0.0,1.0,-200.0
13,advanced_road_trees.csv,55,True,,2,2534,85.9235,-200.0,0.0,40.0,0.0,1.0,-200.0
14,advanced_road_trees.csv,56,True,,2,2534,80.6268,-210.0,0.0,0.0,0.0,1.0,-200.0
15,advanced_road_trees.csv,57,True,,2,2536,84.7112,-200.0,0.0,40.0,0.0,1.0,-200.0
16,advanced_road_trees.csv,58,True,,2,2534,87.8913,-210.0,0.0,0.0,0.0,1.0,-200.0
17,advanced_road_trees.csv,59,True,,2,2534,82.2509,-200.0,0.0,40.0,0.0,1.0,-200.0
18,advanced_road_trees.csv,60,True,,2,2534,78.3237,-190.0,0.0,80.0,0.0,1.0,-200.0
19,advanced_road_trees.csv,61,True,,2,2538,81.9489,-200.0,0.0,40.0,0.0,1.0,-200.0
20,advanced_road_trees.csv,62,True,,2,2534,84.0248,-210.0,0.0,0.0,0.0,1.0,-200.0
21,advanced_road_trees.csv,63,True,,2,2534,72.5602,-200.0,0.0,40.0,0.0,1.0,-200.0
22,advanced_road_trees.csv,64,True,,2,2554,87.9875,-210.0,0.0,0.0,0.0,1.0,-200.0
23,advanced_road_trees.csv,65,True,,2,2534,89.1248,-210.0,0.0,0.0,0.0,1.0,-200.0
24,advanced_road_trees.csv,66,True,,2,2534,82.4832,-210.0,0.0,0.0,0.0,1.0,-200.0
25,advanced_road_trees.csv,67,True,,2,2534,79.8338,-200.0,0.0,40.0,0.0,1.0,-200.0
26,advanced_road_trees.csv,68,True,,2,2549,83.5972,-210.0,0.0,0.0,0.0,1.0,-200.0
27,advanced_road_trees.csv,69,True,,2,2534,83.6916,-210.0,0.0,0.0,0.0,1.0,-200.0
28,advanced_road_trees.csv,70,True,,2,2544,84.7914,-210.0,0.0,0.0,0.0,1.0,-200.0
29,advanced_road_trees.csv,71,True,,2,2551,98.3466,-210.0,0.0,0.0,0.0,1.0,-200.0
30,advanced_road_trees.csv,72,True,,2,2545,103.6614,-200.0,0.0,40.0,0.0,1.0,-200.0
31,advanced_road_trees.csv,73,True,,2,2534,89.6683,-210.0,0.0,0.0,0.0,1.0,-200.0
32,advanced_road_trees.csv,74,True,,2,2534,101.7193,-190.0,0.0,80.0,0.0,1.0,-200.0
33,advanced_road_trees.csv,75,True,,2,2551,81.4726,-190.0,0.0,80.0,0.0,1.0,-200.0
34,advanced_road_trees.csv,76,True,,2,2539,91.0836,-210.0,0.0,0.0,0.0,1.0,-200.0
35,advanced_road_trees.csv,77,True,,2,2549,88.2256,-190.0,0.0,80.0,0.0,1.0,-200.0
36,advanced_road_trees.csv,78,True,,2,2551,82.4476,-210.0,0.0,0.0,0.0,1.0,-200.0
37,advanced_road_trees.csv,79,True,,2,2534,71.892,-200.0,0.0,40.0,0.0,1.0,-200.0
38,advanced_road_trees.csv,80,True,,2,2534,73.5795,-190.0,0.0,80.0,0.0,1.0,-200.0
39,advanced_road_trees.csv,81,True,,2,2534,85.9696,-190.0,0.0,80.0,0.0,1.0,-200.0
40,advanced_road_trees.csv,82,True,,2,2554,78.3533,-200.0,0.0,40.0,0.0,1.0,-200.0
41,advanced_road_trees.csv,83,True,,2,2551,82.6046,-200.0,0.0,40.0,0.0,1.0,-200.0
42,advanced_road_trees.csv,84,True,,2,2554,87.2297,-210.0,0.0,0.0,0.0,1.0,-200.0
43,advanced_road_trees.csv,85,True,,2,2549,83.9393,-190.0,0.0,80.0,0.0,1.0,-200.0
