episode,map_seed,return_code,episode_ok,has_new_summary,summary_file,winner_team,learners,selfplay,baselines,shots_fired,hits_landed,tanks_killed,projectile_deaths,non_projectile_deaths,elimination_source,mobility,move_command_ratio,idle_ratio,turn_ratio,movement_success_ratio,reason,sudden_death_reached,avg_episode_reward
1,road_trees.csv,1,True,True,C:\Users\jakub\Desktop\Do_zrobienia\Metody Sztucznej Inteligencji\Projekt\MSI_Agent_Tank-main\Game\02_FRAKCJA_SILNIKA\logs\summary_20260223_011918.txt,1,1,0,9,3,2,9,1,8,mixed_combat_and_time,mostly_moving,0.8919,0.1042,0.8687,1.0,normal,True,-207.79994332400247
2,road_trees.csv,1,True,True,C:\Users\jakub\Desktop\Do_zrobienia\Metody Sztucznej Inteligencji\Projekt\MSI_Agent_Tank-main\Game\02_FRAKCJA_SILNIKA\logs\summary_20260223_012207.txt,1,1,0,9,3,2,9,0,9,time_sudden_death,mostly_moving,0.9356,0.063,0.871,1.0,normal,True,-323.65044274400867
3,road_trees.csv,1,True,True,C:\Users\jakub\Desktop\Do_zrobienia\Metody Sztucznej Inteligencji\Projekt\MSI_Agent_Tank-main\Game\02_FRAKCJA_SILNIKA\logs\summary_20260223_012445.txt,1,1,0,9,3,2,9,1,8,mixed_combat_and_time,mostly_moving,0.928,0.0698,0.8851,1.0,normal,True,-287.3226341324151
4,road_trees.csv,1,True,True,C:\Users\jakub\Desktop\Do_zrobienia\Metody Sztucznej Inteligencji\Projekt\MSI_Agent_Tank-main\Game\02_FRAKCJA_SILNIKA\logs\summary_20260223_012715.txt,1,1,0,9,3,2,9,1,8,mixed_combat_and_time,mostly_moving,0.9281,0.0697,0.8873,1.0,normal,True,-257.4810946594356
5,road_trees.csv,1,True,True,C:\Users\jakub\Desktop\Do_zrobienia\Metody Sztucznej Inteligencji\Projekt\MSI_Agent_Tank-main\Game\02_FRAKCJA_SILNIKA\logs\summary_20260223_013037.txt,1,1,0,9,12,11,8,2,6,mixed_combat_and_time,mostly_moving,0.8915,0.089,0.9337000000000001,1.0,normal,True,-160.0919078026592
6,road_trees.csv,1,True,True,C:\Users\jakub\Desktop\Do_zrobienia\Metody Sztucznej Inteligencji\Projekt\MSI_Agent_Tank-main\Game\02_FRAKCJA_SILNIKA\logs\summary_20260223_013403.txt,1,1,0,9,2,1,9,0,9,time_sudden_death,mostly_moving,0.9357,0.0628,0.8718999999999999,1.0,normal,True,-205.37113490525456
7,road_trees.csv,1,True,True,C:\Users\jakub\Desktop\Do_zrobienia\Metody Sztucznej Inteligencji\Projekt\MSI_Agent_Tank-main\Game\02_FRAKCJA_SILNIKA\logs\summary_20260223_013642.txt,1,1,0,9,5,4,9,1,8,mixed_combat_and_time,mostly_moving,0.9277,0.0701,0.9071,1.0,normal,True,-111.01831553749744
8,road_trees.csv,1,True,True,C:\Users\jakub\Desktop\Do_zrobienia\Metody Sztucznej Inteligencji\Projekt\MSI_Agent_Tank-main\Game\02_FRAKCJA_SILNIKA\logs\summary_20260223_013946.txt,1,1,0,9,3,2,9,0,9,time_sudden_death,mostly_moving,0.9355,0.063,0.8839999999999999,1.0,normal,True,-92.69005850506564
9,road_trees.csv,1,True,True,C:\Users\jakub\Desktop\Do_zrobienia\Metody Sztucznej Inteligencji\Projekt\MSI_Agent_Tank-main\Game\02_FRAKCJA_SILNIKA\logs\summary_20260223_014255.txt,1,1,0,9,3,2,9,1,8,mixed_combat_and_time,mostly_moving,0.9274,0.0705,0.9001,1.0,normal,True,-91.3233734968802
10,road_trees.csv,1,True,True,C:\Users\jakub\Desktop\Do_zrobienia\Metody Sztucznej Inteligencji\Projekt\MSI_Agent_Tank-main\Game\02_FRAKCJA_SILNIKA\logs\summary_20260223_014533.txt,1,1,0,9,4,3,9,1,8,mixed_combat_and_time,mostly_moving,0.9279,0.0699,0.9019999999999999,1.0,normal,True,-56.116319360539784
11,road_trees.csv,1,True,True,C:\Users\jakub\Desktop\Do_zrobienia\Metody Sztucznej Inteligencji\Projekt\MSI_Agent_Tank-main\Game\02_FRAKCJA_SILNIKA\logs\summary_20260223_014808.txt,2,1,0,9,5,4,9,1,8,mixed_combat_and_time,mostly_moving,0.928,0.0698,0.8894,1.0,normal,True,-54.31375846305252
12,road_trees.csv,1,True,True,C:\Users\jakub\Desktop\Do_zrobienia\Metody Sztucznej Inteligencji\Projekt\MSI_Agent_Tank-main\Game\02_FRAKCJA_SILNIKA\logs\summary_20260223_015047.txt,1,1,0,9,3,2,9,1,8,mixed_combat_and_time,mostly_moving,0.8969,0.1005,0.8708,1.0,normal,True,-46.26157415993516
13,road_trees.csv,1,True,True,C:\Users\jakub\Desktop\Do_zrobienia\Metody Sztucznej Inteligencji\Projekt\MSI_Agent_Tank-main\Game\02_FRAKCJA_SILNIKA\logs\summary_20260223_015331.txt,1,1,0,9,4,3,9,0,9,time_sudden_death,mostly_moving,0.936,0.0627,0.8801,1.0,normal,True,-31.386883143284436
14,road_trees.csv,1,True,True,C:\Users\jakub\Desktop\Do_zrobienia\Metody Sztucznej Inteligencji\Projekt\MSI_Agent_Tank-main\Game\02_FRAKCJA_SILNIKA\logs\summary_20260223_015614.txt,1,1,0,9,5,4,9,1,8,mixed_combat_and_time,mostly_moving,0.9281,0.0698,0.9003,1.0,normal,True,-31.099914573881367
15,road_trees.csv,1,True,True,C:\Users\jakub\Desktop\Do_zrobienia\Metody Sztucznej Inteligencji\Projekt\MSI_Agent_Tank-main\Game\02_FRAKCJA_SILNIKA\logs\summary_20260223_015859.txt,1,1,0,9,4,3,9,0,9,time_sudden_death,mostly_moving,0.9356,0.0629,0.883,1.0,normal,True,-23.61971021910974
16,road_trees.csv,1,True,True,C:\Users\jakub\Desktop\Do_zrobienia\Metody Sztucznej Inteligencji\Projekt\MSI_Agent_Tank-main\Game\02_FRAKCJA_SILNIKA\logs\summary_20260223_020139.txt,1,1,0,9,5,4,8,1,7,mixed_combat_and_time,mostly_moving,0.8856,0.1092,0.9177000000000001,1.0,normal,True,-45.20456494562415
17,road_trees.csv,1,True,True,C:\Users\jakub\Desktop\Do_zrobienia\Metody Sztucznej Inteligencji\Projekt\MSI_Agent_Tank-main\Game\02_FRAKCJA_SILNIKA\logs\summary_20260223_020420.txt,1,1,0,9,4,3,9,1,8,mixed_combat_and_time,mostly_moving,0.9281,0.0697,0.9025,1.0,normal,True,-12.88323236019669
18,road_trees.csv,1,True,True,C:\Users\jakub\Desktop\Do_zrobienia\Metody Sztucznej Inteligencji\Projekt\MSI_Agent_Tank-main\Game\02_FRAKCJA_SILNIKA\logs\summary_20260223_020726.txt,1,1,0,9,3,2,9,1,8,mixed_combat_and_time,mostly_moving,0.9271,0.0707,0.9031,1.0,normal,True,-10.501386745292942
19,road_trees.csv,1,True,True,C:\Users\jakub\Desktop\Do_zrobienia\Metody Sztucznej Inteligencji\Projekt\MSI_Agent_Tank-main\Game\02_FRAKCJA_SILNIKA\logs\summary_20260223_021102.txt,1,1,0,9,5,4,8,1,7,mixed_combat_and_time,mostly_moving,0.8856,0.1092,0.9175,1.0,normal,True,-29.81616350151936
20,road_trees.csv,1,True,True,C:\Users\jakub\Desktop\Do_zrobienia\Metody Sztucznej Inteligencji\Projekt\MSI_Agent_Tank-main\Game\02_FRAKCJA_SILNIKA\logs\summary_20260223_021348.txt,1,1,0,9,5,4,9,1,8,mixed_combat_and_time,mostly_moving,0.9281,0.0698,0.9003,1.0,normal,True,-23.51166197516603
