18:13:08 | INFO     | TICK:0000 | GameCore initialized with session ID: a7ae5467
18:13:11 | INFO     | TICK:0000 | Starting game initialization...
18:13:11 | INFO     | TICK:0000 | Game configuration: {'session_id': 'a7ae5467', 'map_size': (200, 200), 'team_count': 2, 'team_size': 5, 'total_tanks': 10, 'friendly_fire': True, 'sudden_death_tick': 100000, 'map_seed': 'road_trees.csv', 'spawn_positions': [(50, 50), (65, 70), (80, 90), (95, 110), (110, 130), (100, 50), (115, 70), (130, 90), (145, 110), (160, 130)]}
18:13:11 | INFO     | TICK:0000 | Loading map with seed: road_trees.csv
18:13:11 | INFO     | TICK:0000 | Loaded map from file: road_trees.csv
18:13:11 | INFO     | TICK:0000 | Spawning tanks: Team A=5, Team B=5
18:13:11 | WARNING  | TICK:0000 | Spawn position (20.0, 15.0) blocked, searching for clear spot
18:13:11 | INFO     | TICK:0000 | Found clear spawn at (35.0, 15.0)
18:13:11 | WARNING  | TICK:0000 | Spawn position (26.0, 19.0) blocked, searching for clear spot
18:13:11 | INFO     | TICK:0000 | Found clear spawn at (52.0, 34.0)
18:13:11 | WARNING  | TICK:0000 | Spawn position (32.0, 23.0) blocked, searching for clear spot
18:13:11 | INFO     | TICK:0000 | Found clear spawn at (45.0, 15.5)
18:13:11 | WARNING  | TICK:0000 | Spawn position (38.0, 27.0) blocked, searching for clear spot
18:13:11 | INFO     | TICK:0000 | Found clear spawn at (64.0, 42.0)
18:13:11 | WARNING  | TICK:0000 | Spawn position (44.0, 31.0) blocked, searching for clear spot
18:13:11 | INFO     | TICK:0000 | Found clear spawn at (51.5, 44.0)
18:13:11 | WARNING  | TICK:0000 | Spawn position (125.0, 15.0) blocked, searching for clear spot
18:13:11 | INFO     | TICK:0000 | Found clear spawn at (140.0, 15.0)
18:13:11 | WARNING  | TICK:0000 | Spawn position (131.0, 19.0) blocked, searching for clear spot
18:13:11 | INFO     | TICK:0000 | Found clear spawn at (131.0, 49.0)
18:13:11 | WARNING  | TICK:0000 | Spawn position (143.0, 27.0) blocked, searching for clear spot
18:13:11 | INFO     | TICK:0000 | Found clear spawn at (140.0, 53.0)
18:13:11 | WARNING  | TICK:0000 | Spawn position (145.0, 31.0) blocked, searching for clear spot
18:13:11 | INFO     | TICK:0000 | Found clear spawn at (140.0, 61.0)
18:13:11 | INFO     | TICK:0000 | Successfully spawned 10 tanks
18:13:11 | INFO     | TICK:0000 | Connecting to agent servers...
18:13:11 | INFO     | TICK:0000 | Connected to agent for tank_1_1 at http://127.0.0.1:8001
18:13:12 | WARNING  | TICK:0000 | Failed to connect to agent for tank_1_2: timed out
18:13:12 | WARNING  | TICK:0000 | Failed to connect to agent for tank_1_3: timed out
18:13:13 | WARNING  | TICK:0000 | Failed to connect to agent for tank_1_4: timed out
18:13:13 | WARNING  | TICK:0000 | Failed to connect to agent for tank_1_5: timed out
18:13:14 | WARNING  | TICK:0000 | Failed to connect to agent for tank_2_1: timed out
18:13:14 | WARNING  | TICK:0000 | Failed to connect to agent for tank_2_2: timed out
18:13:15 | WARNING  | TICK:0000 | Failed to connect to agent for tank_2_3: timed out
18:13:15 | WARNING  | TICK:0000 | Failed to connect to agent for tank_2_4: timed out
18:13:16 | WARNING  | TICK:0000 | Failed to connect to agent for tank_2_5: timed out
18:13:16 | INFO     | TICK:0000 | Connected to 1/10 agents
18:13:16 | INFO     | TICK:0000 | Game initialization completed successfully
18:13:17 | INFO     | TICK:0000 | Game loop started
18:13:17 | DEBUG    | TICK:0001 | Tick 1 started
18:13:26 | DEBUG    | TICK:0001 | Team 1 has 5 tanks alive
18:13:26 | DEBUG    | TICK:0001 | Team 2 has 5 tanks alive
18:13:26 | DEBUG    | TICK:0001 | Team 1 has 5 tanks alive
18:13:26 | DEBUG    | TICK:0001 | Team 2 has 5 tanks alive
18:13:26 | DEBUG    | TICK:0002 | Tick 2 started
18:13:35 | DEBUG    | TICK:0002 | Team 1 has 5 tanks alive
18:13:35 | DEBUG    | TICK:0002 | Team 2 has 5 tanks alive
18:13:35 | DEBUG    | TICK:0002 | Team 1 has 5 tanks alive
18:13:35 | DEBUG    | TICK:0002 | Team 2 has 5 tanks alive
18:13:35 | DEBUG    | TICK:0003 | Tick 3 started
18:13:44 | DEBUG    | TICK:0003 | Team 1 has 5 tanks alive
18:13:44 | DEBUG    | TICK:0003 | Team 2 has 5 tanks alive
18:13:44 | DEBUG    | TICK:0003 | Team 1 has 5 tanks alive
18:13:44 | DEBUG    | TICK:0003 | Team 2 has 5 tanks alive
18:13:44 | DEBUG    | TICK:0004 | Tick 4 started
